"","value","L1"
"PDE2A","PDE2A",20
"PDHB","PDHB",20
"PHKG2","PHKG2",20
"PMEPA1","PMEPA1",20
"POLR2F","POLR2F",20
"POLR2I","POLR2I",20
"PPID","PPID",20
"PRPF40B","PRPF40B",20
"PTPMT1","PTPMT1",20
"RBM38","RBM38",20
"RCAN3AS","RCAN3AS",20
"RFPL1","RFPL1",20
"RHOBTB2","RHOBTB2",20
"RMDN1","RMDN1",20
"RNF219-AS1","RNF219-AS1",20
"RPL8","RPL8",20
"RPS11","RPS11",20
"RPS6KB2","RPS6KB2",20
"SARNP","SARNP",20
"SBF2","SBF2",20
"SCAMP1","SCAMP1",20
"SCP2","SCP2",20
"SFI1","SFI1",20
"SH3RF3-AS1","SH3RF3-AS1",20
"SHE","SHE",20
"SLC25A19","SLC25A19",20
"SLC2A12","SLC2A12",20
"SLC30A6","SLC30A6",20
"SLC31A2","SLC31A2",20
"SLC38A1","SLC38A1",20
"SLC46A1","SLC46A1",20
"SLC5A10","SLC5A10",20
"SMG7","SMG7",20
"SNAP23","SNAP23",20
"SNTB1","SNTB1",20
"SOX30","SOX30",20
"SPDYE3","SPDYE3",20
"SPOCK2","SPOCK2",20
"SRRM5","SRRM5",20
"STARD4-AS1","STARD4-AS1",20
"TAF6L","TAF6L",20
"TERF2IP","TERF2IP",20
"TIGD7","TIGD7",20
"TMEM120B","TMEM120B",20
"TMEM220-AS1","TMEM220-AS1",20
"TMEM69","TMEM69",20
"TOE1","TOE1",20
"TP53BP1","TP53BP1",20
"TPTE2P5","TPTE2P5",20
"TRIOBP","TRIOBP",20
"TTI2","TTI2",20
"TUBGCP4","TUBGCP4",20
"UBR5","UBR5",20
"WAS","WAS",20
"WDR48","WDR48",20
"YDJC","YDJC",20
"ZNF473","ZNF473",20
"ZNF571-AS1","ZNF571-AS1",20
"ADAMTS4","ADAMTS4",21
"ADCY3","ADCY3",21
"AP1S2","AP1S2",21
"APMAP","APMAP",21
"BAX","BAX",21
"BHLHE40","BHLHE40",21
"C17orf107","C17orf107",21
"C18orf8","C18orf8",21
"C19orf84","C19orf84",21
"C2CD4D","C2CD4D",21
"C8G","C8G",21
"C9orf117","C9orf117",21
"CCL3","CCL3",21
"CD68","CD68",21
"CDK11B","CDK11B",21
"CFP","CFP",21
"CYB561D2","CYB561D2",21
"DHCR24","DHCR24",21
"DLEU2","DLEU2",21
"DNAH10","DNAH10",21
"DYNLL1-AS1","DYNLL1-AS1",21
"EPN2","EPN2",21
"EXOC4","EXOC4",21
"EZR","EZR",21
"FAM8A1","FAM8A1",21
"FHAD1","FHAD1",21
"FLG","FLG",21
"FOXD2","FOXD2",21
"FUT7","FUT7",21
"FZD4","FZD4",21
"GLB1L2","GLB1L2",21
"GPR114","GPR114",21
"GPR68","GPR68",21
"GSN","GSN",21
"GZMB","GZMB",21
"GZMK","GZMK",21
"HMOX2","HMOX2",21
"JAKMIP2-AS1","JAKMIP2-AS1",21
"KDM1A","KDM1A",21
"KLRB1","KLRB1",21
"KRTAP5-2","KRTAP5-2",21
"L3MBTL3","L3MBTL3",21
"LIM2","LIM2",21
"LINC00612","LINC00612",21
"LOC100130872","LOC100130872",21
"LOC100131094","LOC100131094",21
"LOC100134391","LOC100134391",21
"LOC100287098","LOC100287098",21
"LOC100507346","LOC100507346",21
"LOC101927911","LOC101927911",21
"LOC101928100","LOC101928100",21
"LRRC57","LRRC57",21
"LY9","LY9",21
"MAFF","MAFF",21
"MIB2","MIB2",21
"MIR3918","MIR3918",21
"MPPE1","MPPE1",21
"MSTO2P","MSTO2P",21
"NCAM1-AS1","NCAM1-AS1",21
"NLRP7","NLRP7",21
"NOP14","NOP14",21
"NPB","NPB",21
"PDCD1","PDCD1",21
"PLCD4","PLCD4",21
"PPIL2","PPIL2",21
"PPP1R10","PPP1R10",21
"PPP2R5C","PPP2R5C",21
"PRICKLE2-AS1","PRICKLE2-AS1",21
"PTGDR","PTGDR",21
"RASSF1-AS1","RASSF1-AS1",21
"REL","REL",21
"RETSAT","RETSAT",21
"RPGRIP1","RPGRIP1",21
"RUNX3","RUNX3",21
"SIGLEC10","SIGLEC10",21
"SLFNL1-AS1","SLFNL1-AS1",21
"SPON2","SPON2",21
"SPTB","SPTB",21
"STAG3","STAG3",21
"STARD3NL","STARD3NL",21
"SYNE1","SYNE1",21
"SYNE1-AS1","SYNE1-AS1",21
"SYNE2","SYNE2",21
"TBKBP1","TBKBP1",21
"TBRG1","TBRG1",21
"TCTA","TCTA",21
"TFAP2E","TFAP2E",21
"THEM5","THEM5",21
"TIGIT","TIGIT",21
"TNFRSF14","TNFRSF14",21
"TP53I11","TP53I11",21
"TPGS2","TPGS2",21
"TRAF6","TRAF6",21
"TXNL4B","TXNL4B",21
"WDR24","WDR24",21
"YRDC","YRDC",21
"ZNF205","ZNF205",21
"ZNF227","ZNF227",21
"ZNF710","ZNF710",21
"AEBP1","AEBP1",22
"APOL2","APOL2",22
"ARVCF","ARVCF",22
"ATHL1","ATHL1",22
"AVPR2","AVPR2",22
"AXIN1","AXIN1",22
"BHLHE40-AS1","BHLHE40-AS1",22
"BTN2A1","BTN2A1",22
"C15orf27","C15orf27",22
"C15orf61","C15orf61",22
"CACNA1H","CACNA1H",22
"CCDC183","CCDC183",22
"CCL27","CCL27",22
"CCNK","CCNK",22
"CD3EAP","CD3EAP",22
"CDT1","CDT1",22
"CXCL16","CXCL16",22
"CYB561A3","CYB561A3",22
"CYC1","CYC1",22
"CYP17A1","CYP17A1",22
"DDTL","DDTL",22
"DDX55","DDX55",22
"DENND3","DENND3",22
"DGCR8","DGCR8",22
"DGUOK-AS1","DGUOK-AS1",22
"DHRS12","DHRS12",22
"DNAJC14","DNAJC14",22
"DPM1","DPM1",22
"DXO","DXO",22
"DYRK2","DYRK2",22
"EMC1","EMC1",22
"EPOR","EPOR",22
"ESRRA","ESRRA",22
"EWSR1","EWSR1",22
"FAIM","FAIM",22
"FAM126B","FAM126B",22
"FAM175A","FAM175A",22
"FAM65C","FAM65C",22
"FAM69A","FAM69A",22
"FARP1","FARP1",22
"FBXL15","FBXL15",22
"FLJ13224","FLJ13224",22
"FSCN1","FSCN1",22
"GAL3ST4","GAL3ST4",22
"GGN","GGN",22
"GOLGA8A","GOLGA8A",22
"GTF2IRD1P1","GTF2IRD1P1",22
"HAS3","HAS3",22
"HCCAT3","HCCAT3",22
"HEMK1","HEMK1",22
"HIST1H2BD","HIST1H2BD",22
"HYI","HYI",22
"IFITM5","IFITM5",22
"IFT20","IFT20",22
"IL17D","IL17D",22
"IL6ST","IL6ST",22
"ITGB3BP","ITGB3BP",22
"JUND","JUND",22
"KDM3A","KDM3A",22
"KIAA2026","KIAA2026",22
"LARP7","LARP7",22
"LGMN","LGMN",22
"LOC100499489","LOC100499489",22
"LOC100506325","LOC100506325",22
"LOC100507217","LOC100507217",22
"LOC101927817","LOC101927817",22
"LONP1","LONP1",22
"LPAR6","LPAR6",22
"LPPR3","LPPR3",22
"LRRC46","LRRC46",22
"MAMDC4","MAMDC4",22
"MAP1B","MAP1B",22
"MAPK8IP1","MAPK8IP1",22
"MAPKAPK2","MAPKAPK2",22
"MARCH8","MARCH8",22
"MAST3","MAST3",22
"MBP","MBP",22
"MED26","MED26",22
"MED29","MED29",22
"MFSD7","MFSD7",22
"MIR6748","MIR6748",22
"MLH3","MLH3",22
"MOGS","MOGS",22
"MPND","MPND",22
"MYH10","MYH10",22
"NCOA4","NCOA4",22
"NDUFA1","NDUFA1",22
"NEMF","NEMF",22
"NFE2L2","NFE2L2",22
"NOXO1","NOXO1",22
"NSUN5P1","NSUN5P1",22
"ORMDL2","ORMDL2",22
"OTULIN","OTULIN",22
"PAF1","PAF1",22
"PAN3","PAN3",22
"PFKM","PFKM",22
"PHF1","PHF1",22
"PHYKPL","PHYKPL",22
"PITRM1-AS1","PITRM1-AS1",22
"PMM2","PMM2",22
"POLR1C","POLR1C",22
"POR","POR",22
"PRR7-AS1","PRR7-AS1",22
"PSMB8","PSMB8",22
"PSMD3","PSMD3",22
"PYGB","PYGB",22
"RALY","RALY",22
"RANBP9","RANBP9",22
"RBM39","RBM39",22
"RELA","RELA",22
"REV1","REV1",22
"RNF19A","RNF19A",22
"RNF43","RNF43",22
"RPS6KL1","RPS6KL1",22
"RRAS","RRAS",22
"RUFY1","RUFY1",22
"RXFP4","RXFP4",22
"SAMD14","SAMD14",22
"SAP18","SAP18",22
"SART1","SART1",22
"SATL1","SATL1",22
"SEC11A","SEC11A",22
"SERINC3","SERINC3",22
"SGSM3","SGSM3",22
"SIPA1","SIPA1",22
"SIRT1","SIRT1",22
"SIRT5","SIRT5",22
"SLC4A10","SLC4A10",22
"SLC8B1","SLC8B1",22
"SLC9B1","SLC9B1",22
"SPRTN","SPRTN",22
"SPSB2","SPSB2",22
"SPSB3","SPSB3",22
"SRSF4","SRSF4",22
"STAT1","STAT1",22
"STK25","STK25",22
"STX5","STX5",22
"SULF2","SULF2",22
"TGFB1","TGFB1",22
"TGFB1I1","TGFB1I1",22
"THAP9","THAP9",22
"THEM6","THEM6",22
"TIMM10B","TIMM10B",22
"TMED8","TMED8",22
"TMEM180","TMEM180",22
"TMUB2","TMUB2",22
"TNIP2","TNIP2",22
"TRAF3IP3","TRAF3IP3",22
"TRRAP","TRRAP",22
"TSPYL2","TSPYL2",22
"TUBB6","TUBB6",22
"TXLNG","TXLNG",22
"TXNDC17","TXNDC17",22
"UBE2L3","UBE2L3",22
"UNK","UNK",22
"USP20","USP20",22
"YEATS2","YEATS2",22
"ZBTB24","ZBTB24",22
"ZC2HC1C","ZC2HC1C",22
"ZDHHC16","ZDHHC16",22
"ZDHHC5","ZDHHC5",22
"ZNF224","ZNF224",22
"ZNF3","ZNF3",22
"ZNF576","ZNF576",22
"ZNHIT2","ZNHIT2",22
"ANGPTL6","ANGPTL6",23
"ARGFXP2","ARGFXP2",23
"ATP5SL","ATP5SL",23
"B3GNT8","B3GNT8",23
"BAIAP2L1","BAIAP2L1",23
"BEAN1","BEAN1",23
"C3orf17","C3orf17",23
"C4orf19","C4orf19",23
"C9orf37","C9orf37",23
"CACNA2D4","CACNA2D4",23
"CBR3-AS1","CBR3-AS1",23
"CC2D2A","CC2D2A",23
"CCNB2","CCNB2",23
"CEP68","CEP68",23
"CHAD","CHAD",23
"CLEC17A","CLEC17A",23
"CREB3","CREB3",23
"DDX49","DDX49",23
"DHRS1","DHRS1",23
"DPP3","DPP3",23
"E2F5","E2F5",23
"ENDOG","ENDOG",23
"ERO1LB","ERO1LB",23
"EYA3","EYA3",23
"FAM215A","FAM215A",23
"FBXO31","FBXO31",23
"FBXW8","FBXW8",23
"GET4","GET4",23
"GHRLOS","GHRLOS",23
"GIGYF1","GIGYF1",23
"GNAT2","GNAT2",23
"GRIK1","GRIK1",23
"GRIN2D","GRIN2D",23
"GUCY2D","GUCY2D",23
"HM13-AS1","HM13-AS1",23
"HPS4","HPS4",23
"HSD3BP4","HSD3BP4",23
"HSPA1A","HSPA1A",23
"KIF9","KIF9",23
"KIRREL3","KIRREL3",23
"LOC100129697","LOC100129697",23
"LOC100506142","LOC100506142",23
"LOC100506497","LOC100506497",23
"LOC101243545","LOC101243545",23
"LOC101927631","LOC101927631",23
"LOC101928008","LOC101928008",23
"LOC102724316","LOC102724316",23
"LPHN1","LPHN1",23
"MAPK11","MAPK11",23
"MAPK8","MAPK8",23
"MBD6","MBD6",23
"MBTD1","MBTD1",23
"MCMDC2","MCMDC2",23
"MDM2","MDM2",23
"MIR4513","MIR4513",23
"MIR6080","MIR6080",23
"MPDU1","MPDU1",23
"MROH5","MROH5",23
"MTIF3","MTIF3",23
"NAB2","NAB2",23
"NAV1","NAV1",23
"NCOA3","NCOA3",23
"NKTR","NKTR",23
"NUP85","NUP85",23
"OMG","OMG",23
"OPA3","OPA3",23
"PAPLN","PAPLN",23
"PCSK7","PCSK7",23
"PDCD11","PDCD11",23
"PDK1","PDK1",23
"PHOSPHO1","PHOSPHO1",23
"POU5F1P3","POU5F1P3",23
"PTPRA","PTPRA",23
"PUS10","PUS10",23
"RASAL2","RASAL2",23
"RFXANK","RFXANK",23
"RGAG4","RGAG4",23
"RPA2","RPA2",23
"RPAIN","RPAIN",23
"SCN3B","SCN3B",23
"SH3PXD2A","SH3PXD2A",23
"SKIV2L2","SKIV2L2",23
"SLC24A4","SLC24A4",23
"SLC25A35","SLC25A35",23
"SLC46A2","SLC46A2",23
"SLC51A","SLC51A",23
"SLC9A7","SLC9A7",23
"SMTNL1","SMTNL1",23
"SNX8","SNX8",23
"SORCS2","SORCS2",23
"SRP19","SRP19",23
"SUN2","SUN2",23
"SVIL","SVIL",23
"SYT15","SYT15",23
"TALDO1","TALDO1",23
"TCP1","TCP1",23
"TFB1M","TFB1M",23
"TMED1","TMED1",23
"TMEM39A","TMEM39A",23
"TNC","TNC",23
"TNFSF13","TNFSF13",23
"TOPORS","TOPORS",23
"TRPM2-AS","TRPM2-AS",23
"TSPAN3","TSPAN3",23
"UBXN11","UBXN11",23
"UBXN6","UBXN6",23
"UXT-AS1","UXT-AS1",23
"WDR90","WDR90",23
"ZBTB48","ZBTB48",23
"ZNF469","ZNF469",23
